time,concNnh3
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,4.488818168640137
2007-02-15,4.046243667602539
2007-03-15,3.656266927719116
2007-04-15,4.148840427398682
2007-05-15,4.267123699188232
2007-06-15,4.109196662902832
2007-07-15,3.5043327808380127
2007-08-15,3.3342361450195312
2007-09-15,4.022313117980957
2007-10-15,4.611207008361816
2007-11-15,4.505096435546875
2007-12-15,6.414904594421387
2008-01-15,4.883439064025879
2008-02-15,7.259510040283203
2008-03-15,3.503783702850342
2008-04-15,2.9526708126068115
2008-05-15,5.24960994720459
2008-06-15,3.798649549484253
2008-07-15,3.573934555053711
2008-08-15,3.8888344764709473
2008-09-15,4.075654029846191
2008-10-15,5.013946533203125
2008-11-15,4.752998352050781
2008-12-15,6.1606011390686035
2009-01-15,
2009-02-15,5.192915916442871
2009-03-15,3.4584453105926514
2009-04-15,3.9324874877929688
2009-05-15,4.161243438720703
2009-06-15,4.224546432495117
2009-07-15,3.619314193725586
2009-08-15,3.990471601486206
2009-09-15,4.5682878494262695
2009-10-15,4.403808116912842
2009-11-15,4.1606645584106445
2009-12-15,
2010-01-15,6.446738243103027
2010-02-15,4.77977991104126
2010-03-15,3.6575183868408203
2010-04-15,3.25657320022583
2010-05-15,4.090807914733887
2010-06-15,3.572279930114746
2010-07-15,4.421422958374023
2010-08-15,2.9992752075195312
2010-09-15,4.319018363952637
2010-10-15,4.497719764709473
2010-11-15,4.370680332183838
2010-12-15,6.278985023498535
2011-01-15,6.5565595626831055
2011-02-15,6.998335838317871
2011-03-15,4.556801795959473
2011-04-15,3.844538688659668
2011-05-15,4.944890022277832
2011-06-15,3.8042550086975098
2011-07-15,3.8390142917633057
2011-08-15,3.562345027923584
2011-09-15,4.399763107299805
2011-10-15,4.899836540222168
2011-11-15,6.773970603942871
2011-12-15,4.947136402130127
2012-01-15,5.351192474365234
2012-02-15,5.135650634765625
2012-03-15,5.074867248535156
2012-04-15,3.8992934226989746
2012-05-15,5.275032043457031
2012-06-15,
2012-07-15,3.3164401054382324
2012-08-15,3.9756035804748535
2012-09-15,
2012-10-15,3.8314526081085205
2012-11-15,4.991092681884766
2012-12-15,3.7064905166625977
2013-01-15,7.018344879150391
2013-02-15,4.436817169189453
2013-03-15,4.769205093383789
2013-04-15,3.9366798400878906
2013-05-15,4.184133052825928
2013-06-15,3.8126425743103027
2013-07-15,4.411815643310547
2013-08-15,4.090864181518555
2013-09-15,4.016437530517578
2013-10-15,3.7308855056762695
2013-11-15,4.348901748657227
2013-12-15,6.679760456085205
2014-01-15,
2014-02-15,4.309232711791992
2014-03-15,3.7720377445220947
2014-04-15,3.4163877964019775
2014-05-15,3.980231761932373
2014-06-15,4.179069519042969
2014-07-15,3.4204516410827637
2014-08-15,
2014-09-15,3.7857093811035156
2014-10-15,
2014-11-15,4.655200481414795
2014-12-15,4.952950477600098
2015-01-15,5.284120082855225
2015-02-15,4.56751823425293
2015-03-15,3.436260223388672
2015-04-15,
2015-05-15,4.735886573791504
2015-06-15,4.152740001678467
2015-07-15,4.221414566040039
2015-08-15,
2015-09-15,4.584844589233398
2015-10-15,4.9786505699157715
2015-11-15,
2015-12-15,4.983063697814941
2016-01-15,4.635025501251221
2016-02-15,3.110835075378418
2016-03-15,3.620286703109741
2016-04-15,2.6515185832977295
2016-05-15,3.869110584259033
2016-06-15,3.9704010486602783
2016-07-15,
2016-08-15,3.799901008605957
2016-09-15,4.237275123596191
2016-10-15,4.671439170837402
2016-11-15,4.459099769592285
2016-12-15,6.160200119018555
2017-01-15,6.524406433105469
2017-02-15,4.882524013519287
2017-03-15,3.637502908706665
2017-04-15,3.1567153930664062
2017-05-15,4.552398204803467
2017-06-15,4.81744384765625
2017-07-15,3.709498882293701
2017-08-15,3.615334987640381
2017-09-15,3.4429433345794678
2017-10-15,4.4928717613220215
2017-11-15,4.303671360015869
2017-12-15,5.0942182540893555
2018-01-15,
2018-02-15,4.823402404785156
2018-03-15,3.2265262603759766
2018-04-15,3.0847582817077637
2018-05-15,4.711228370666504
2018-06-15,4.370297431945801
2018-07-15,4.453899383544922
2018-08-15,
2018-09-15,4.666954517364502
2018-10-15,4.569293975830078
2018-11-15,4.900932312011719
2018-12-15,5.4144086837768555
2019-01-15,
2019-02-15,4.805777549743652
2019-03-15,3.027198314666748
2019-04-15,3.5205116271972656
2019-05-15,4.734073638916016
2019-06-15,
2019-07-15,4.626445770263672
2019-08-15,3.706949234008789
2019-09-15,4.742839813232422
2019-10-15,3.866548538208008
2019-11-15,3.755918502807617
2019-12-15,4.213775157928467
