time,concNnh4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,1.0444025993347168
2008-02-15,0.8657960891723633
2008-03-15,0.277940958738327
2008-04-15,0.26029446721076965
2008-05-15,0.337826132774353
2008-06-15,0.3692462742328644
2008-07-15,0.35370510816574097
2008-08-15,0.26054632663726807
2008-09-15,0.5293788909912109
2008-10-15,0.4824170768260956
2008-11-15,0.7742405533790588
2008-12-15,0.8957893252372742
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,0.43709269165992737
2013-02-15,0.5422589778900146
2013-03-15,0.43563273549079895
2013-04-15,0.3277305066585541
2013-05-15,0.13153086602687836
2013-06-15,0.3591727018356323
2013-07-15,0.3543192148208618
2013-08-15,0.44740378856658936
2013-09-15,0.28589290380477905
2013-10-15,0.3156880736351013
2013-11-15,0.458477646112442
2013-12-15,0.7182475328445435
2014-01-15,0.2850229740142822
2014-02-15,0.2816934287548065
2014-03-15,0.4966927170753479
2014-04-15,0.3017864227294922
2014-05-15,0.26972267031669617
2014-06-15,0.22145788371562958
2014-07-15,0.359625905752182
2014-08-15,0.12801425158977509
2014-09-15,0.4235348105430603
2014-10-15,0.20681744813919067
2014-11-15,0.22263316810131073
2014-12-15,0.6620079874992371
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,0.26960283517837524
2015-11-15,
2015-12-15,0.6270400285720825
2016-01-15,0.3865734934806824
2016-02-15,0.3500930070877075
2016-03-15,0.2807947099208832
2016-04-15,
2016-05-15,0.4285479784011841
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,0.3582227826118469
2016-11-15,0.5345183610916138
2016-12-15,0.4367579221725464
2017-01-15,0.5019388794898987
2017-02-15,
2017-03-15,0.28548184037208557
2017-04-15,0.37407419085502625
2017-05-15,0.25334787368774414
2017-06-15,0.22636881470680237
2017-07-15,
2017-08-15,0.18899179995059967
2017-09-15,0.2467612624168396
2017-10-15,0.31749796867370605
2017-11-15,
2017-12-15,0.46924030780792236
2018-01-15,0.2825468182563782
2018-02-15,0.7228344082832336
2018-03-15,0.1521618664264679
2018-04-15,
2018-05-15,0.6427695751190186
2018-06-15,0.26713070273399353
2018-07-15,0.20470711588859558
2018-08-15,0.17868492007255554
2018-09-15,0.28703463077545166
2018-10-15,
2018-11-15,0.11186404526233673
2018-12-15,0.3589392602443695
2019-01-15,0.517715334892273
2019-02-15,0.31882521510124207
2019-03-15,0.1961243748664856
2019-04-15,0.37273678183555603
2019-05-15,0.17408378422260284
2019-06-15,0.20893864333629608
2019-07-15,0.26373788714408875
2019-08-15,0.23039154708385468
2019-09-15,0.2033180147409439
2019-10-15,0.15594586730003357
2019-11-15,0.3221262991428375
2019-12-15,0.6486071348190308
