time,concNnh4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,1.0657401084899902
2001-02-15,0.5569808483123779
2001-03-15,
2001-04-15,
2001-05-15,0.5135224461555481
2001-06-15,0.7925454378128052
2001-07-15,0.5748881101608276
2001-08-15,0.41234374046325684
2001-09-15,0.778556764125824
2001-10-15,0.6543750166893005
2001-11-15,0.612839937210083
2001-12-15,0.5067054629325867
2002-01-15,1.0920766592025757
2002-02-15,0.9063047766685486
2002-03-15,0.670973539352417
2002-04-15,0.5620172619819641
2002-05-15,0.5006688237190247
2002-06-15,0.6676629185676575
2002-07-15,0.5588141679763794
2002-08-15,0.4435296952724457
2002-09-15,0.6034279465675354
2002-10-15,0.5991901755332947
2002-11-15,0.6803516149520874
2002-12-15,0.8069101572036743
2003-01-15,0.7429373264312744
2003-02-15,0.5146783590316772
2003-03-15,0.709927499294281
2003-04-15,0.5992525219917297
2003-05-15,0.4306109845638275
2003-06-15,0.42930078506469727
2003-07-15,0.5535793304443359
2003-08-15,0.5774021148681641
2003-09-15,0.6178399324417114
2003-10-15,0.6901976466178894
2003-11-15,
2003-12-15,
2004-01-15,0.596181333065033
2004-02-15,0.8591067790985107
2004-03-15,0.4503839313983917
2004-04-15,0.41535958647727966
2004-05-15,0.6681216955184937
2004-06-15,0.4613491892814636
2004-07-15,0.5373373031616211
2004-08-15,0.5052325129508972
2004-09-15,0.6329649686813354
2004-10-15,0.7300589084625244
2004-11-15,0.7319899201393127
2004-12-15,0.7274128794670105
2005-01-15,0.8098969459533691
2005-02-15,0.6349802613258362
2005-03-15,0.6036624312400818
2005-04-15,0.568866491317749
2005-05-15,0.3983168303966522
2005-06-15,0.4593055546283722
2005-07-15,0.47851279377937317
2005-08-15,0.5626567602157593
2005-09-15,0.43419569730758667
2005-10-15,0.46615082025527954
2005-11-15,0.4949973523616791
2005-12-15,0.7390706539154053
2006-01-15,0.8394556641578674
2006-02-15,0.8782920837402344
2006-03-15,0.7469031810760498
2006-04-15,0.5809578895568848
2006-05-15,0.6272889971733093
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
