,0
2000-01-15,
2001-01-15,
2002-01-15,
2003-01-15,
2004-01-15,
2005-01-15,0.04588853195309639
2006-01-15,0.4341193089882533
2007-01-15,0.2696923616652687
2008-01-15,0.5983926355838776
2009-01-15,0.35472472012043
2010-01-15,0.18275168041388193
2011-01-15,0.21109614272912344
2012-01-15,0.156222567272683
2013-01-15,0.1640968502809604
2014-01-15,0.08076174991826217
2015-01-15,0.0863774021466573
2016-01-15,0.14962158600489298
2017-01-15,0.19347419341405234
2018-01-15,0.13004528606931368
2019-01-15,0.2817162424325943
