time,concNno3pm25
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,0.039363548159599304
2014-03-15,0.8871538043022156
2014-04-15,0.19011716544628143
2014-05-15,0.41866984963417053
2014-06-15,0.17559850215911865
2014-07-15,0.23921029269695282
2014-08-15,0.06378183513879776
2014-09-15,0.6601210832595825
2014-10-15,0.2811712622642517
2014-11-15,0.30997633934020996
2014-12-15,0.697579562664032
2015-01-15,0.4144723117351532
2015-02-15,0.3289150893688202
2015-03-15,0.5325134992599487
2015-04-15,0.4004409611225128
2015-05-15,0.2680147886276245
2015-06-15,0.11453372985124588
2015-07-15,0.13663405179977417
2015-08-15,0.20346638560295105
2015-09-15,
2015-10-15,0.6989018321037292
2015-11-15,0.2918735444545746
2015-12-15,
2016-01-15,0.16832932829856873
2016-02-15,0.3037010729312897
2016-03-15,0.4631117284297943
2016-04-15,0.39542239904403687
2016-05-15,0.1910792887210846
2016-06-15,0.37754902243614197
2016-07-15,0.10132712125778198
2016-08-15,0.19766439497470856
2016-09-15,0.1752711832523346
2016-10-15,0.5468827486038208
2016-11-15,
2016-12-15,0.8795515298843384
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,0.5530654191970825
2017-05-15,0.7921836376190186
2017-06-15,0.24003100395202637
2017-07-15,0.07424011081457138
2017-08-15,0.13213734328746796
2017-09-15,0.2105676829814911
2017-10-15,0.24003387987613678
2017-11-15,0.2987739145755768
2017-12-15,0.3517964780330658
2018-01-15,0.0973065048456192
2018-02-15,0.7297185659408569
2018-03-15,0.13501115143299103
2018-04-15,0.233870729804039
2018-05-15,0.9233500957489014
2018-06-15,0.09328379482030869
2018-07-15,0.07603204250335693
2018-08-15,0.05232083052396774
2018-09-15,0.22737978398799896
2018-10-15,0.6560820937156677
2018-11-15,0.07091572880744934
2018-12-15,0.31836989521980286
2019-01-15,0.2849588394165039
2019-02-15,0.4817825257778168
2019-03-15,0.3229576647281647
2019-04-15,0.5895416140556335
2019-05-15,0.8768704533576965
2019-06-15,0.11982382833957672
2019-07-15,0.08309626579284668
2019-08-15,0.27039435505867004
2019-09-15,0.23187215626239777
2019-10-15,0.20534756779670715
2019-11-15,0.21274371445178986
2019-12-15,
