time,concNno3pm25
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,0.6174095869064331
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,0.6749252676963806
2009-03-15,0.9182181358337402
2009-04-15,1.1134400367736816
2009-05-15,0.6495907306671143
2009-06-15,0.420251727104187
2009-07-15,0.1974506676197052
2009-08-15,0.2728027403354645
2009-09-15,0.7859160304069519
2009-10-15,0.7317391037940979
2009-11-15,0.1988903284072876
2009-12-15,0.6515494585037231
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,0.8487988114356995
2011-10-15,0.5382005572319031
2011-11-15,0.8684373497962952
2011-12-15,0.14670322835445404
2012-01-15,0.4468764662742615
2012-02-15,0.8889544606208801
2012-03-15,
2012-04-15,
2012-05-15,1.905423879623413
2012-06-15,
2012-07-15,0.3232894539833069
2012-08-15,
2012-09-15,0.24769362807273865
2012-10-15,0.44035854935646057
2012-11-15,0.49091118574142456
2012-12-15,0.3768099248409271
2013-01-15,0.7180359363555908
2013-02-15,0.7335858941078186
2013-03-15,0.9940136671066284
2013-04-15,0.6276693940162659
2013-05-15,0.5548706650733948
2013-06-15,0.20638544857501984
2013-07-15,0.3203202486038208
2013-08-15,0.36265334486961365
2013-09-15,0.902519702911377
2013-10-15,0.3109109401702881
2013-11-15,0.7047398090362549
2013-12-15,0.44817107915878296
2014-01-15,0.23256149888038635
2014-02-15,0.11379305273294449
2014-03-15,0.8481398820877075
2014-04-15,0.7128745317459106
2014-05-15,0.7426947951316833
2014-06-15,0.29682281613349915
2014-07-15,0.20283956825733185
2014-08-15,0.15955109894275665
2014-09-15,1.097549557685852
2014-10-15,0.31092214584350586
2014-11-15,0.6895259618759155
2014-12-15,0.46418309211730957
2015-01-15,0.4848562180995941
2015-02-15,0.4326907992362976
2015-03-15,0.6648916602134705
2015-04-15,0.9256722927093506
2015-05-15,0.3344944715499878
2015-06-15,0.2694073021411896
2015-07-15,0.17486239969730377
2015-08-15,0.360164076089859
2015-09-15,
2015-10-15,
2015-11-15,0.2032133787870407
2015-12-15,0.15956133604049683
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
