,0
2000-06-15,0.5197602435946465
2001-06-15,0.43270092209180194
2002-06-15,0.44551050787170726
2003-06-15,0.5464861653745174
2004-06-15,0.42314667006333667
2005-06-15,0.48602651556332904
2006-06-15,0.5598393430312475
2007-06-15,0.4399058644970258
2008-06-15,0.41852013642589253
2009-06-15,0.36172087614734966
2010-06-15,
2011-06-15,
2012-06-15,
2013-06-15,0.39272472126917407
2014-06-15,0.30382376350462437
2015-06-15,0.42106624071796733
2016-06-15,0.3249736813207467
2017-06-15,0.34887687613566715
2018-06-15,0.3543137162923813
2019-06-15,0.30859513133764266
