,0
2000-06-15,
2001-06-15,
2002-06-15,
2003-06-15,
2004-06-15,0.18919206613844092
2005-06-15,0.2935478451351325
2006-06-15,0.2830354105681181
2007-06-15,0.2031852239742875
2008-06-15,0.17944317000607649
2009-06-15,0.22608537102739015
2010-06-15,0.19158873872624504
2011-06-15,0.2361491850266854
2012-06-15,0.1721366879840692
2013-06-15,0.16617008174459139
2014-06-15,0.19347106851637363
2015-06-15,0.18048925014833608
2016-06-15,0.19535456123677167
2017-06-15,0.13206381040314832
2018-06-15,0.21263553015887737
2019-06-15,
