time,concNtno3
2000-01-15,1.175396203994751
2000-02-15,1.306057333946228
2000-03-15,0.8783528208732605
2000-04-15,1.3070703744888306
2000-05-15,1.0427913665771484
2000-06-15,0.9340981245040894
2000-07-15,0.8260678648948669
2000-08-15,1.0119177103042603
2000-09-15,1.194329023361206
2000-10-15,1.6755714416503906
2000-11-15,1.7734202146530151
2000-12-15,1.4012640714645386
2001-01-15,1.550613522529602
2001-02-15,0.9171832799911499
2001-03-15,1.087660551071167
2001-04-15,1.284684419631958
2001-05-15,1.2246214151382446
2001-06-15,1.0391225814819336
2001-07-15,1.0581049919128418
2001-08-15,1.0980346202850342
2001-09-15,1.0105036497116089
2001-10-15,2.00850248336792
2001-11-15,0.5385749936103821
2001-12-15,0.7044916749000549
2002-01-15,1.500473976135254
2002-02-15,0.6843254566192627
2002-03-15,1.3053776025772095
2002-04-15,1.2011746168136597
2002-05-15,1.3813995122909546
2002-06-15,0.7422288060188293
2002-07-15,0.7461438179016113
2002-08-15,0.8865319490432739
2002-09-15,0.8572307229042053
2002-10-15,0.789674699306488
2002-11-15,1.172791838645935
2002-12-15,0.9643128514289856
2003-01-15,1.132184386253357
2003-02-15,1.6027754545211792
2003-03-15,1.9821425676345825
2003-04-15,1.0555036067962646
2003-05-15,1.400452733039856
2003-06-15,0.8086032867431641
2003-07-15,0.962078332901001
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,1.0122735500335693
2004-02-15,0.8277353048324585
2004-03-15,1.2043240070343018
2004-04-15,1.1009966135025024
2004-05-15,0.9708927869796753
2004-06-15,0.6851730346679688
2004-07-15,0.6754368543624878
2004-08-15,0.7125762701034546
2004-09-15,0.7192489504814148
2004-10-15,0.9170545935630798
2004-11-15,0.8552713394165039
2004-12-15,1.3474647998809814
2005-01-15,0.6550008654594421
2005-02-15,0.9450902938842773
2005-03-15,1.095794439315796
2005-04-15,1.2173595428466797
2005-05-15,1.2414991855621338
2005-06-15,0.7129709124565125
2005-07-15,0.7060866951942444
2005-08-15,0.9119473695755005
2005-09-15,1.4671469926834106
2005-10-15,1.361372947692871
2005-11-15,1.2285234928131104
2005-12-15,0.786933183670044
2006-01-15,1.545836329460144
2006-02-15,1.0485342741012573
2006-03-15,0.9774489402770996
2006-04-15,1.1871471405029297
2006-05-15,1.1024037599563599
2006-06-15,0.9829983711242676
2006-07-15,0.9237134456634521
2006-08-15,0.5989344120025635
2006-09-15,1.8018559217453003
2006-10-15,1.3384970426559448
2006-11-15,1.2706843614578247
2006-12-15,1.1829811334609985
2007-01-15,0.5281999111175537
2007-02-15,0.8209247589111328
2007-03-15,1.2569199800491333
2007-04-15,1.024369239807129
2007-05-15,1.1411820650100708
2007-06-15,0.8409784436225891
2007-07-15,0.7222824692726135
2007-08-15,0.7650983929634094
2007-09-15,0.8829342722892761
2007-10-15,0.9565861225128174
2007-11-15,0.7365953922271729
2007-12-15,1.262624740600586
2008-01-15,1.1656482219696045
2008-02-15,1.4593875408172607
2008-03-15,0.6522459387779236
2008-04-15,1.119012713432312
2008-05-15,1.1272804737091064
2008-06-15,0.5584401488304138
2008-07-15,0.5402302145957947
2008-08-15,0.7686015963554382
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
