time,concpm10
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,23.647228240966797
2001-02-15,22.606489181518555
2001-03-15,15.050871849060059
2001-04-15,18.91727066040039
2001-05-15,22.166324615478516
2001-06-15,15.6826810836792
2001-07-15,18.419099807739258
2001-08-15,22.708608627319336
2001-09-15,19.20753288269043
2001-10-15,41.79631423950195
2001-11-15,36.95875930786133
2001-12-15,46.98457717895508
2002-01-15,39.88723373413086
2002-02-15,17.994726181030273
2002-03-15,27.422725677490234
2002-04-15,21.882904052734375
2002-05-15,17.945959091186523
2002-06-15,23.656248092651367
2002-07-15,18.64572525024414
2002-08-15,15.829757690429688
2002-09-15,24.60904884338379
2002-10-15,28.277612686157227
2002-11-15,19.61104393005371
2002-12-15,21.37213897705078
2003-01-15,23.41693878173828
2003-02-15,37.059593200683594
2003-03-15,38.802635192871094
2003-04-15,26.58930206298828
2003-05-15,21.989761352539062
2003-06-15,22.774263381958008
2003-07-15,13.33217716217041
2003-08-15,21.430238723754883
2003-09-15,32.38123321533203
2003-10-15,22.620223999023438
2003-11-15,32.35967254638672
2003-12-15,17.08828353881836
2004-01-15,23.943199157714844
2004-02-15,24.925554275512695
2004-03-15,20.689735412597656
2004-04-15,20.23257827758789
2004-05-15,20.795270919799805
2004-06-15,14.127041816711426
2004-07-15,17.318944931030273
2004-08-15,16.34763526916504
2004-09-15,28.69663429260254
2004-10-15,26.567991256713867
2004-11-15,24.31028938293457
2004-12-15,17.410037994384766
2005-01-15,23.316926956176758
2005-02-15,24.410282135009766
2005-03-15,29.72864532470703
2005-04-15,25.67898941040039
2005-05-15,24.20086097717285
2005-06-15,19.914785385131836
2005-07-15,14.063822746276855
2005-08-15,
2005-09-15,26.318424224853516
2005-10-15,33.80405044555664
2005-11-15,31.278972625732422
2005-12-15,19.69844627380371
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,16.67473793029785
2012-07-15,11.074398040771484
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,27.697555541992188
2013-02-15,10.997148513793945
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
