,0
2000-04-15,2.8554993073145547
2001-04-15,3.8443363507588706
2002-04-15,3.8000667095184326
2003-04-15,3.8277711073557534
2004-04-15,3.417511463165283
2005-04-15,2.9852956930796304
2006-04-15,5.050870656967163
2007-04-15,2.8504088719685874
2008-04-15,3.0480490922927856
2009-04-15,2.5913103024164834
2010-04-15,3.3544994990030923
2011-04-15,2.3788324991861978
2012-04-15,2.30900510152181
2013-04-15,
2014-04-15,
2015-04-15,
2016-04-15,2.927732070287069
2017-04-15,
2018-04-15,2.715564568837484
2019-04-15,
