time,concso4
2000-01-15,1.692717432975769
2000-02-15,0.6237207055091858
2000-03-15,1.7852975130081177
2000-04-15,1.396424412727356
2000-05-15,3.182171106338501
2000-06-15,3.0921216011047363
2000-07-15,2.863466501235962
2000-08-15,1.7529854774475098
2000-09-15,0.9314232468605042
2000-10-15,0.5112383961677551
2000-11-15,0.4069672226905823
2000-12-15,1.0234532356262207
2001-01-15,1.438276767730713
2001-02-15,1.5398739576339722
2001-03-15,1.5260564088821411
2001-04-15,1.1349313259124756
2001-05-15,2.5708603858947754
2001-06-15,2.4757080078125
2001-07-15,2.4337849617004395
2001-08-15,1.8149343729019165
2001-09-15,1.778585433959961
2001-10-15,1.2780073881149292
2001-11-15,1.3500970602035522
2001-12-15,1.8399310111999512
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,0.7762923836708069
2003-02-15,1.8135892152786255
2003-03-15,3.055049419403076
2003-04-15,2.2151498794555664
2003-05-15,1.5945384502410889
2003-06-15,1.8229326009750366
2003-07-15,1.9173246622085571
2003-08-15,4.141352653503418
2003-09-15,2.046854257583618
2003-10-15,1.4493643045425415
2003-11-15,0.9709873795509338
2003-12-15,1.2612053155899048
2004-01-15,0.7557854652404785
2004-02-15,1.592248558998108
2004-03-15,1.3681056499481201
2004-04-15,1.7333064079284668
2004-05-15,2.895742654800415
2004-06-15,1.2630223035812378
2004-07-15,1.526296854019165
2004-08-15,1.1923456192016602
2004-09-15,1.4087663888931274
2004-10-15,0.896333634853363
2004-11-15,1.0822385549545288
2004-12-15,1.555454134941101
2005-01-15,0.634535551071167
2005-02-15,1.136547327041626
2005-03-15,1.8565107583999634
2005-04-15,1.6297516822814941
2005-05-15,1.418878197669983
2005-06-15,2.14235782623291
2005-07-15,1.774593710899353
2005-08-15,1.6429277658462524
2005-09-15,1.7100187540054321
2005-10-15,2.8348512649536133
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,0.5534918308258057
2006-04-15,1.3032554388046265
2006-05-15,1.521864652633667
2006-06-15,2.828598737716675
2006-07-15,2.6211376190185547
2006-08-15,0.9903213381767273
2006-09-15,1.261662244796753
2006-10-15,1.353817105293274
2006-11-15,0.6218158602714539
2006-12-15,2.4235708713531494
2007-01-15,0.48579972982406616
2007-02-15,0.845505952835083
2007-03-15,1.3625081777572632
2007-04-15,
2007-05-15,
2007-06-15,1.775655746459961
2007-07-15,0.5728446841239929
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,1.0143561363220215
2008-01-15,0.5352444648742676
2008-02-15,1.4102338552474976
2008-03-15,0.41288602352142334
2008-04-15,0.9225351214408875
2008-05-15,1.9737385511398315
2008-06-15,0.9487293362617493
2008-07-15,1.139520287513733
2008-08-15,
2008-09-15,1.749739646911621
2008-10-15,0.2144898772239685
2008-11-15,1.307808756828308
2008-12-15,1.350839614868164
2009-01-15,1.2066937685012817
2009-02-15,1.124406099319458
2009-03-15,0.8012945652008057
2009-04-15,1.4345555305480957
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
