time,concso4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,4.192207336425781
2001-02-15,2.5080525875091553
2001-03-15,2.5242228507995605
2001-04-15,3.133194923400879
2001-05-15,3.742687702178955
2001-06-15,2.3702166080474854
2001-07-15,3.0108678340911865
2001-08-15,3.825218439102173
2001-09-15,2.640035390853882
2001-10-15,5.840260028839111
2001-11-15,2.5843024253845215
2001-12-15,4.23123025894165
2002-01-15,7.505589962005615
2002-02-15,3.195805788040161
2002-03-15,3.2964823246002197
2002-04-15,3.365184783935547
2002-05-15,3.328798294067383
2002-06-15,2.736741781234741
2002-07-15,2.5061256885528564
2002-08-15,3.273777484893799
2002-09-15,3.017751932144165
2002-10-15,2.4423511028289795
2002-11-15,2.9555766582489014
2002-12-15,3.5018680095672607
2003-01-15,3.8689401149749756
2003-02-15,4.278818607330322
2003-03-15,4.25146484375
2003-04-15,2.686211585998535
2003-05-15,3.083249092102051
2003-06-15,3.0895323753356934
2003-07-15,2.6090590953826904
2003-08-15,3.701693296432495
2003-09-15,2.4580726623535156
2003-10-15,2.1362805366516113
2003-11-15,4.0143208503723145
2003-12-15,3.50030779838562
2004-01-15,2.737048864364624
2004-02-15,1.781278371810913
2004-03-15,3.419395685195923
2004-04-15,3.299706220626831
2004-05-15,2.393057346343994
2004-06-15,1.7679818868637085
2004-07-15,2.8462681770324707
2004-08-15,2.0917227268218994
2004-09-15,2.5455734729766846
2004-10-15,3.4971513748168945
2004-11-15,2.9578564167022705
2004-12-15,4.636902332305908
2005-01-15,2.462705373764038
2005-02-15,3.0475645065307617
2005-03-15,3.4338691234588623
2005-04-15,3.1719508171081543
2005-05-15,1.8610539436340332
2005-06-15,2.425135374069214
2005-07-15,2.972149610519409
2005-08-15,2.239260196685791
2005-09-15,3.165342330932617
2005-10-15,3.070694923400879
2005-11-15,4.183374404907227
2005-12-15,2.3594038486480713
2006-01-15,3.9906513690948486
2006-02-15,2.8980798721313477
2006-03-15,2.825822591781616
2006-04-15,2.4629313945770264
2006-05-15,1.8148319721221924
2006-06-15,2.7141964435577393
2006-07-15,3.5530028343200684
2006-08-15,1.3493797779083252
2006-09-15,3.0666069984436035
2006-10-15,2.590930461883545
2006-11-15,2.9429149627685547
2006-12-15,5.271300315856934
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
