time,concss
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,0.7303218841552734
2012-07-15,0.6869328618049622
2012-08-15,0.3645457625389099
2012-09-15,0.45950713753700256
2012-10-15,0.19503584504127502
2012-11-15,0.17091776430606842
2012-12-15,0.3921647369861603
2013-01-15,0.36725568771362305
2013-02-15,0.4083174467086792
2013-03-15,0.40287497639656067
2013-04-15,0.36317387223243713
2013-05-15,0.17671515047550201
2013-06-15,0.5990203022956848
2013-07-15,0.6033279299736023
2013-08-15,0.5414244532585144
2013-09-15,0.48637983202934265
2013-10-15,0.24608711898326874
2013-11-15,0.30042290687561035
2013-12-15,0.4810848832130432
2014-01-15,0.7010671496391296
2014-02-15,0.9206754565238953
2014-03-15,0.8198489546775818
2014-04-15,0.4056997299194336
2014-05-15,0.7351945042610168
2014-06-15,0.4414127469062805
2014-07-15,0.7704592347145081
2014-08-15,0.7106776833534241
2014-09-15,0.1755480319261551
2014-10-15,0.27916574478149414
2014-11-15,0.4496646225452423
2014-12-15,0.22956538200378418
2015-01-15,0.2541716992855072
2015-02-15,0.7162649035453796
2015-03-15,0.19446082413196564
2015-04-15,0.6833018660545349
2015-05-15,0.5226186513900757
2015-06-15,0.48753711581230164
2015-07-15,0.7804080247879028
2015-08-15,0.7584071755409241
2015-09-15,0.5660082101821899
2015-10-15,0.2902553379535675
2015-11-15,0.25345149636268616
2015-12-15,0.39685535430908203
2016-01-15,0.6760484576225281
2016-02-15,0.8461061716079712
2016-03-15,0.3912154734134674
2016-04-15,0.3081076443195343
2016-05-15,0.4727383255958557
2016-06-15,0.5305202007293701
2016-07-15,1.001755952835083
2016-08-15,0.8782733678817749
2016-09-15,0.34467417001724243
2016-10-15,0.256849467754364
2016-11-15,0.2273152470588684
2016-12-15,0.1180831789970398
2017-01-15,0.4011520743370056
2017-02-15,1.1334210634231567
2017-03-15,0.48525407910346985
2017-04-15,0.7273249626159668
2017-05-15,0.7046825289726257
2017-06-15,0.6252937912940979
2017-07-15,0.6310856342315674
2017-08-15,0.7205840945243835
2017-09-15,0.48898133635520935
2017-10-15,0.2483498901128769
2017-11-15,0.29696759581565857
2017-12-15,0.37756994366645813
2018-01-15,0.5033164620399475
2018-02-15,0.2981260418891907
2018-03-15,1.138768196105957
2018-04-15,0.5872740149497986
2018-05-15,0.2632337808609009
2018-06-15,0.4439357817173004
2018-07-15,0.4329891800880432
2018-08-15,0.4839255213737488
2018-09-15,0.24580420553684235
2018-10-15,0.21724700927734375
2018-11-15,0.4528389275074005
2018-12-15,0.3055488169193268
2019-01-15,0.6839519143104553
2019-02-15,0.42238205671310425
2019-03-15,0.6974014043807983
2019-04-15,0.4803462624549866
2019-05-15,0.5227608680725098
2019-06-15,0.8440361022949219
2019-07-15,0.9350780844688416
2019-08-15,0.6191882491111755
2019-09-15,0.41345128417015076
2019-10-15,0.4190685451030731
2019-11-15,1.038176417350769
2019-12-15,0.7343658804893494
