time,concss
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,0.18637309968471527
2007-02-15,0.17228195071220398
2007-03-15,0.27293258905410767
2007-04-15,0.438663512468338
2007-05-15,0.2795068323612213
2007-06-15,0.439680814743042
2007-07-15,0.10500112920999527
2007-08-15,0.19084562361240387
2007-09-15,0.28954586386680603
2007-10-15,0.4473627805709839
2007-11-15,0.5377972722053528
2007-12-15,0.8691311478614807
2008-01-15,0.2871984541416168
2008-02-15,0.6840143799781799
2008-03-15,0.2553690969944
2008-04-15,0.21191659569740295
2008-05-15,0.14725451171398163
2008-06-15,0.22934536635875702
2008-07-15,0.17091919481754303
2008-08-15,0.1843474805355072
2008-09-15,0.23975911736488342
2008-10-15,0.4202589988708496
2008-11-15,0.513310968875885
2008-12-15,0.2882678210735321
2009-01-15,0.44830581545829773
2009-02-15,0.2541482448577881
2009-03-15,0.29503005743026733
2009-04-15,0.44720423221588135
2009-05-15,0.3837125599384308
2009-06-15,0.32071468234062195
2009-07-15,0.19776920974254608
2009-08-15,0.11656026542186737
2009-09-15,0.43564969301223755
2009-10-15,0.19168826937675476
2009-11-15,0.2882624864578247
2009-12-15,0.4703275263309479
2010-01-15,0.2832595705986023
2010-02-15,0.09070891886949539
2010-03-15,0.2771671712398529
2010-04-15,0.3565967082977295
2010-05-15,0.3895116448402405
2010-06-15,0.18839193880558014
2010-07-15,0.21628063917160034
2010-08-15,0.3048229515552521
2010-09-15,0.2452654391527176
2010-10-15,0.5016869306564331
2010-11-15,0.5044689774513245
2010-12-15,0.53464275598526
2011-01-15,0.17913000285625458
2011-02-15,0.11966744065284729
2011-03-15,0.545566737651825
2011-04-15,0.6265239119529724
2011-05-15,0.4479323625564575
2011-06-15,0.2948015332221985
2011-07-15,0.09893184155225754
2011-08-15,0.857395589351654
2011-09-15,0.3524494171142578
2011-10-15,0.44748952984809875
2011-11-15,0.643085241317749
2011-12-15,0.33985239267349243
2012-01-15,0.05611927807331085
2012-02-15,0.12621577084064484
2012-03-15,0.5585064888000488
2012-04-15,0.21773841977119446
2012-05-15,0.35912656784057617
2012-06-15,0.4401862323284149
2012-07-15,0.22271260619163513
2012-08-15,0.12538108229637146
2012-09-15,0.34805089235305786
2012-10-15,0.17391914129257202
2012-11-15,0.34133440256118774
2012-12-15,0.22126242518424988
2013-01-15,0.42145711183547974
2013-02-15,0.24006390571594238
2013-03-15,0.3070584237575531
2013-04-15,0.11004620045423508
2013-05-15,0.5040000081062317
2013-06-15,0.2700454592704773
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,0.2997835874557495
2013-12-15,0.5219762325286865
2014-01-15,0.2320847064256668
2014-02-15,0.34109044075012207
2014-03-15,0.6417272686958313
2014-04-15,0.5933377146720886
2014-05-15,0.23296962678432465
2014-06-15,0.3539167046546936
2014-07-15,0.2719768285751343
2014-08-15,0.14685232937335968
2014-09-15,0.7401683926582336
2014-10-15,0.40291035175323486
2014-11-15,0.3610474467277527
2014-12-15,0.41242533922195435
2015-01-15,0.550791323184967
2015-02-15,0.35005617141723633
2015-03-15,0.5407546758651733
2015-04-15,0.4609340727329254
2015-05-15,0.3091963529586792
2015-06-15,0.2506778836250305
2015-07-15,0.3047112226486206
2015-08-15,0.22087638080120087
2015-09-15,0.6718766689300537
2015-10-15,0.6011825799942017
2015-11-15,0.3520090878009796
2015-12-15,0.30095618963241577
2016-01-15,0.19012871384620667
2016-02-15,0.2078474909067154
2016-03-15,0.6104311943054199
2016-04-15,0.2421942949295044
2016-05-15,0.4588412940502167
2016-06-15,0.29545482993125916
2016-07-15,0.08477383106946945
2016-08-15,0.18451456725597382
2016-09-15,0.4168049097061157
2016-10-15,0.595693826675415
2016-11-15,0.2301037460565567
2016-12-15,0.49452295899391174
2017-01-15,0.5585399866104126
2017-02-15,0.42210492491722107
2017-03-15,0.26257067918777466
2017-04-15,0.4158428907394409
2017-05-15,0.46034324169158936
2017-06-15,0.36430180072784424
2017-07-15,0.3352898955345154
2017-08-15,0.437984824180603
2017-09-15,0.414997398853302
2017-10-15,0.3439891040325165
2017-11-15,0.40749481320381165
2017-12-15,0.11507264524698257
2018-01-15,0.1485527604818344
2018-02-15,0.21851395070552826
2018-03-15,0.26454854011535645
2018-04-15,0.2592277526855469
2018-05-15,0.4539206922054291
2018-06-15,0.2482404261827469
2018-07-15,0.5686429738998413
2018-08-15,0.1606094241142273
2018-09-15,0.20561549067497253
2018-10-15,0.4320802092552185
2018-11-15,0.825224757194519
2018-12-15,0.18381409347057343
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
