time,vmrisop
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,0.11138768494129181
2006-10-15,
2006-11-15,0.018771469593048096
2006-12-15,0.014360059052705765
2007-01-15,0.01952684298157692
2007-02-15,0.024874651804566383
2007-03-15,0.028628034517169
2007-04-15,0.08576242625713348
2007-05-15,0.06859692186117172
2007-06-15,0.10171423107385635
2007-07-15,0.11013836413621902
2007-08-15,0.09492166340351105
2007-09-15,0.07029633224010468
2007-10-15,0.05967259779572487
2007-11-15,0.023917345330119133
2007-12-15,0.017360031604766846
2008-01-15,0.011942945420742035
2008-02-15,0.029505256563425064
2008-03-15,0.022323206067085266
2008-04-15,0.05596992000937462
2008-05-15,0.09232789278030396
2008-06-15,
2008-07-15,0.1372874230146408
2008-08-15,0.11117211729288101
2008-09-15,0.07866864651441574
2008-10-15,0.03709161654114723
2008-11-15,0.016329050064086914
2008-12-15,0.01701323315501213
2009-01-15,0.014444125816226006
2009-02-15,0.02017577551305294
2009-03-15,0.03038705699145794
2009-04-15,0.05673789232969284
2009-05-15,0.07895398139953613
2009-06-15,0.12342935055494308
2009-07-15,0.14445042610168457
2009-08-15,0.11093302071094513
2009-09-15,0.07068125903606415
2009-10-15,0.04987166449427605
2009-11-15,0.01737406849861145
2009-12-15,0.013471655547618866
2010-01-15,0.016993587836623192
2010-02-15,0.016008347272872925
2010-03-15,0.02720916084945202
2010-04-15,0.046585552394390106
2010-05-15,0.05531351640820503
2010-06-15,0.12870921194553375
2010-07-15,0.11311021447181702
2010-08-15,0.10816076397895813
2010-09-15,0.08681337535381317
2010-10-15,0.030136695131659508
2010-11-15,0.018187571316957474
2010-12-15,0.01541630644351244
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,0.1296934336423874
2011-08-15,0.11736065149307251
2011-09-15,0.09349136799573898
2011-10-15,
2011-11-15,0.03904308006167412
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,0.10239310562610626
2012-07-15,0.11288659274578094
2012-08-15,0.11833693087100983
2012-09-15,0.06515762209892273
2012-10-15,0.042186152189970016
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
