time,wetoxn
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,748.9769897460938
2010-02-15,665.797119140625
2010-03-15,492.9454345703125
2010-04-15,547.4188842773438
2010-05-15,675.3858032226562
2010-06-15,740.1651611328125
2010-07-15,1118.2708740234375
2010-08-15,1175.1373291015625
2010-09-15,788.8992919921875
2010-10-15,435.6748962402344
2010-11-15,577.2593383789062
2010-12-15,572.9620361328125
2011-01-15,498.988525390625
2011-02-15,335.7105712890625
2011-03-15,441.957275390625
2011-04-15,628.9261474609375
2011-05-15,922.9037475585938
2011-06-15,725.9298706054688
2011-07-15,664.4209594726562
2011-08-15,98.21092987060547
2011-09-15,337.76922607421875
2011-10-15,251.34410095214844
2011-11-15,130.27516174316406
2011-12-15,338.1573791503906
2012-01-15,778.0455932617188
2012-02-15,608.167236328125
2012-03-15,469.6091003417969
2012-04-15,703.306396484375
2012-05-15,1008.2686767578125
2012-06-15,411.0545654296875
2012-07-15,547.1493530273438
2012-08-15,499.3529357910156
2012-09-15,273.4270324707031
2012-10-15,383.605224609375
2012-11-15,246.88558959960938
2012-12-15,508.4383850097656
2013-01-15,472.093017578125
2013-02-15,299.8997802734375
2013-03-15,589.7929077148438
2013-04-15,578.1785278320312
2013-05-15,429.2900085449219
2013-06-15,1268.9693603515625
2013-07-15,761.0263061523438
2013-08-15,616.4955444335938
2013-09-15,563.2700805664062
2013-10-15,300.1211242675781
2013-11-15,456.6053161621094
2013-12-15,235.4468231201172
2014-01-15,580.1189575195312
2014-02-15,255.10914611816406
2014-03-15,356.2081298828125
2014-04-15,948.2388305664062
2014-05-15,975.92529296875
2014-06-15,455.3990478515625
2014-07-15,1300.218017578125
2014-08-15,408.0045471191406
2014-09-15,245.35865783691406
2014-10-15,216.39146423339844
2014-11-15,435.23577880859375
2014-12-15,752.61865234375
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
