time,wetrdn
2000-01-15,823.96337890625
2000-02-15,955.5411376953125
2000-03-15,1494.7528076171875
2000-04-15,1666.8968505859375
2000-05-15,2706.494140625
2000-06-15,1941.14306640625
2000-07-15,1845.292236328125
2000-08-15,1882.381103515625
2000-09-15,1534.68505859375
2000-10-15,933.1926879882812
2000-11-15,749.337890625
2000-12-15,318.1547546386719
2001-01-15,583.9881591796875
2001-02-15,756.0001220703125
2001-03-15,1185.2935791015625
2001-04-15,1836.2884521484375
2001-05-15,4484.3251953125
2001-06-15,2518.31298828125
2001-07-15,2008.3487548828125
2001-08-15,2054.784423828125
2001-09-15,3120.02001953125
2001-10-15,1001.900146484375
2001-11-15,620.5200805664062
2001-12-15,1066.7984619140625
2002-01-15,388.7733154296875
2002-02-15,558.0021362304688
2002-03-15,1042.820556640625
2002-04-15,2069.2744140625
2002-05-15,5022.18603515625
2002-06-15,1625.536865234375
2002-07-15,1706.2867431640625
2002-08-15,2184.699951171875
2002-09-15,3201.18701171875
2002-10-15,1261.4327392578125
2002-11-15,923.0205688476562
2002-12-15,1002.0511474609375
2003-01-15,603.90576171875
2003-02-15,
2003-03-15,632.8951416015625
2003-04-15,1622.0091552734375
2003-05-15,5183.96875
2003-06-15,1488.55078125
2003-07-15,2061.234130859375
2003-08-15,884.0053100585938
2003-09-15,1450.7762451171875
2003-10-15,1352.72119140625
2003-11-15,254.8170928955078
2003-12-15,508.4002685546875
2004-01-15,978.8428344726562
2004-02-15,953.528076171875
2004-03-15,1313.8616943359375
2004-04-15,1123.04248046875
2004-05-15,5128.55126953125
2004-06-15,1933.6531982421875
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,801.5288696289062
2010-02-15,718.463623046875
2010-03-15,588.9398193359375
2010-04-15,1305.12451171875
2010-05-15,4606.73388671875
2010-06-15,1227.9320068359375
2010-07-15,1335.629638671875
2010-08-15,2230.625732421875
2010-09-15,1619.9561767578125
2010-10-15,487.1478271484375
2010-11-15,882.1806030273438
2010-12-15,952.1342163085938
2011-01-15,511.0111389160156
2011-02-15,306.7642517089844
2011-03-15,521.0979614257812
2011-04-15,1315.27880859375
2011-05-15,3293.067626953125
2011-06-15,1539.4107666015625
2011-07-15,1214.1099853515625
2011-08-15,1285.00048828125
2011-09-15,1707.6446533203125
2011-10-15,571.7802124023438
2011-11-15,37.5422477722168
2011-12-15,522.4010009765625
2012-01-15,729.0032348632812
2012-02-15,666.2975463867188
2012-03-15,499.2662353515625
2012-04-15,1619.9368896484375
2012-05-15,2468.03125
2012-06-15,1969.8448486328125
2012-07-15,2029.9530029296875
2012-08-15,1389.19873046875
2012-09-15,1660.727783203125
2012-10-15,839.2344970703125
2012-11-15,378.97308349609375
2012-12-15,757.0383911132812
2013-01-15,1015.4610595703125
2013-02-15,1003.3280639648438
2013-03-15,701.9822387695312
2013-04-15,1807.76220703125
2013-05-15,4777.02001953125
2013-06-15,1987.804931640625
2013-07-15,1073.0755615234375
2013-08-15,1511.1597900390625
2013-09-15,1586.2530517578125
2013-10-15,561.1596069335938
2013-11-15,680.7382202148438
2013-12-15,390.1924133300781
2014-01-15,436.051025390625
2014-02-15,273.8125915527344
2014-03-15,1193.3544921875
2014-04-15,2570.351806640625
2014-05-15,5008.115234375
2014-06-15,1658.825439453125
2014-07-15,1654.1656494140625
2014-08-15,1635.95703125
2014-09-15,2221.205322265625
2014-10-15,793.012939453125
2014-11-15,526.1387939453125
2014-12-15,564.1363525390625
2015-01-15,1063.705322265625
2015-02-15,404.3493347167969
2015-03-15,674.3359375
2015-04-15,1296.684326171875
2015-05-15,4702.02197265625
2015-06-15,1986.484619140625
2015-07-15,1636.84619140625
2015-08-15,1095.5284423828125
2015-09-15,1322.8294677734375
2015-10-15,1219.6529541015625
2015-11-15,653.5491943359375
2015-12-15,363.5936279296875
2016-01-15,492.0680236816406
2016-02-15,701.8294677734375
2016-03-15,745.6434326171875
2016-04-15,1295.903076171875
2016-05-15,3225.827880859375
2016-06-15,1941.8079833984375
2016-07-15,1583.5828857421875
2016-08-15,1244.9908447265625
2016-09-15,1492.5155029296875
2016-10-15,972.1574096679688
2016-11-15,718.7099609375
2016-12-15,601.3892211914062
2017-01-15,548.209716796875
2017-02-15,471.6274108886719
2017-03-15,1206.491455078125
2017-04-15,2725.3046875
2017-05-15,3543.3984375
2017-06-15,1296.569580078125
2017-07-15,2120.623046875
2017-08-15,1602.6162109375
2017-09-15,1558.9298095703125
2017-10-15,930.612060546875
2017-11-15,890.3099975585938
2017-12-15,454.0826110839844
2018-01-15,632.9909057617188
2018-02-15,461.3484191894531
2018-03-15,556.4039306640625
2018-04-15,1263.0511474609375
2018-05-15,4182.12060546875
2018-06-15,1221.4215087890625
2018-07-15,1685.574462890625
2018-08-15,719.5316772460938
2018-09-15,2190.777587890625
2018-10-15,526.7779541015625
2018-11-15,307.5475158691406
2018-12-15,661.1387329101562
2019-01-15,1038.168701171875
2019-02-15,371.126708984375
2019-03-15,896.4010009765625
2019-04-15,639.73095703125
2019-05-15,4273.85107421875
2019-06-15,1599.7464599609375
2019-07-15,1228.186279296875
2019-08-15,1614.346923828125
2019-09-15,1228.5325927734375
2019-10-15,585.0501098632812
2019-11-15,394.9316101074219
2019-12-15,284.4006652832031
