time,wetrdn
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,272.0323181152344
2000-12-15,250.29263305664062
2001-01-15,280.35107421875
2001-02-15,358.3990173339844
2001-03-15,256.283447265625
2001-04-15,157.92742919921875
2001-05-15,3062.14794921875
2001-06-15,39.49531936645508
2001-07-15,124.96703338623047
2001-08-15,117.1045913696289
2001-09-15,403.0979309082031
2001-10-15,237.48153686523438
2001-11-15,152.85079956054688
2001-12-15,23.26774787902832
2002-01-15,144.7666015625
2002-02-15,42.83422088623047
2002-03-15,222.96731567382812
2002-04-15,322.666259765625
2002-05-15,1423.6982421875
2002-06-15,340.3193054199219
2002-07-15,95.48589324951172
2002-08-15,426.4949035644531
2002-09-15,903.505859375
2002-10-15,243.72409057617188
2002-11-15,249.18338012695312
2002-12-15,252.75079345703125
2003-01-15,127.44132232666016
2003-02-15,297.23773193359375
2003-03-15,301.1265869140625
2003-04-15,632.3299560546875
2003-05-15,966.2254638671875
2003-06-15,254.19781494140625
2003-07-15,18.462724685668945
2003-08-15,325.12835693359375
2003-09-15,21.304824829101562
2003-10-15,630.7291870117188
2003-11-15,358.1966552734375
2003-12-15,189.53298950195312
2004-01-15,85.9042739868164
2004-02-15,285.9405212402344
2004-03-15,399.4081115722656
2004-04-15,736.487548828125
2004-05-15,1717.4990234375
2004-06-15,555.4906005859375
2004-07-15,82.12152099609375
2004-08-15,54.46812057495117
2004-09-15,352.02001953125
2004-10-15,265.8218078613281
2004-11-15,191.00611877441406
2004-12-15,128.1230926513672
2005-01-15,18.180818557739258
2005-02-15,279.0920715332031
2005-03-15,221.9822540283203
2005-04-15,303.3568420410156
2005-05-15,539.7125244140625
2005-06-15,655.6851196289062
2005-07-15,97.4445571899414
2005-08-15,91.44933319091797
2005-09-15,372.4668884277344
2005-10-15,345.94110107421875
2005-11-15,195.89059448242188
2005-12-15,104.23241424560547
2006-01-15,148.49632263183594
2006-02-15,257.8155212402344
2006-03-15,194.79762268066406
2006-04-15,460.8305969238281
2006-05-15,1638.5640869140625
2006-06-15,373.7307434082031
2006-07-15,369.7618103027344
2006-08-15,25.275691986083984
2006-09-15,563.1326904296875
2006-10-15,244.08636474609375
2006-11-15,277.27227783203125
2006-12-15,158.56817626953125
2007-01-15,203.1877899169922
2007-02-15,251.82247924804688
2007-03-15,263.91204833984375
2007-04-15,988.9385986328125
2007-05-15,1364.8338623046875
2007-06-15,173.68710327148438
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
