time,wetrdn
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,130.7525634765625
2006-02-15,148.7160186767578
2006-03-15,500.8733825683594
2006-04-15,290.83026123046875
2006-05-15,2371.740478515625
2006-06-15,420.3015441894531
2006-07-15,1386.9439697265625
2006-08-15,207.2521209716797
2006-09-15,1228.153076171875
2006-10-15,686.43896484375
2006-11-15,222.42796325683594
2006-12-15,294.537353515625
2007-01-15,155.6630859375
2007-02-15,451.228515625
2007-03-15,295.6034851074219
2007-04-15,399.9752502441406
2007-05-15,682.6243286132812
2007-06-15,1062.6484375
2007-07-15,1015.1597900390625
2007-08-15,319.9547119140625
2007-09-15,281.3000793457031
2007-10-15,425.98785400390625
2007-11-15,191.08779907226562
2007-12-15,203.90660095214844
2008-01-15,236.8406524658203
2008-02-15,237.4106903076172
2008-03-15,234.47598266601562
2008-04-15,742.4722900390625
2008-05-15,2786.630615234375
2008-06-15,555.8753662109375
2008-07-15,1023.6135864257812
2008-08-15,678.1815185546875
2008-09-15,
2008-10-15,230.78273010253906
2008-11-15,214.41476440429688
2008-12-15,198.9532928466797
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,120.74272918701172
2010-02-15,158.2959747314453
2010-03-15,
2010-04-15,1298.522216796875
2010-05-15,1220.271728515625
2010-06-15,534.8045654296875
2010-07-15,549.1541748046875
2010-08-15,431.2477111816406
2010-09-15,1200.658203125
2010-10-15,354.92657470703125
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,521.087158203125
2011-07-15,1022.338134765625
2011-08-15,708.3135375976562
2011-09-15,813.4484252929688
2011-10-15,343.08154296875
2011-11-15,345.420654296875
2011-12-15,191.25143432617188
2012-01-15,121.5597915649414
2012-02-15,205.67758178710938
2012-03-15,134.464111328125
2012-04-15,514.0582275390625
2012-05-15,2044.3995361328125
2012-06-15,1382.9581298828125
2012-07-15,443.7198486328125
2012-08-15,500.14996337890625
2012-09-15,210.3883056640625
2012-10-15,
2012-11-15,168.8824920654297
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
