,0
2000-10-15,2858.98388671875
2001-10-15,2450.0686848958335
2002-10-15,2853.052734375
2003-10-15,2067.680460611979
2004-10-15,1855.1326904296875
2005-10-15,1416.1141560872395
2006-10-15,1945.2100423177083
2007-10-15,1656.1485799153645
2008-10-15,1935.9971516927083
2009-10-15,1722.8749186197917
2010-10-15,2012.6947021484375
2011-10-15,1225.5779317220051
2012-10-15,2027.3533935546875
2013-10-15,2309.588134765625
2014-10-15,2293.74560546875
2015-10-15,1873.7699381510417
2016-10-15,2213.719685872396
2017-10-15,1814.1060384114583
2018-10-15,1451.4906005859375
2019-10-15,1830.1559244791667
