,0
2000-06-15,1931.4083353678386
2001-06-15,2027.6446380615234
2002-06-15,2007.2649663289387
2003-06-15,1650.231206258138
2004-06-15,1805.3353373209636
2005-06-15,1669.7967707316081
2006-06-15,1656.2336832682292
2007-06-15,1774.991923014323
2008-06-15,1851.5650889078777
2009-06-15,1803.7041422526042
2010-06-15,1889.5760109641335
2011-06-15,1546.3490960200627
2012-06-15,1797.3720245361328
2013-06-15,1885.1667353312175
2014-06-15,1769.0262044270833
2015-06-15,1406.5994453430176
2016-06-15,1811.9291118275034
2017-06-15,1578.4756774902344
2018-06-15,1963.4629720052083
2019-06-15,
