time,concCecpm25
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,0.136
2010-08-15,0.11200000000000002
2010-09-15,0.21600000000000003
2010-10-15,0.21399999999999997
2010-11-15,0.12
2010-12-15,0.10000000000000002
2011-01-15,0.088
2011-02-15,0.24800000000000005
2011-03-15,0.29
2011-04-15,0.23399999999999999
2011-05-15,0.13999999999999999
2011-06-15,0.08600000000000001
2011-07-15,0.092
2011-08-15,0.18
2011-09-15,0.144
2011-10-15,0.17600000000000002
2011-11-15,0.098
2011-12-15,0.06999999999999999
2012-01-15,0.041999999999999996
2012-02-15,0.438
2012-03-15,0.27
2012-04-15,0.1366666666666667
2012-05-15,0.136
2012-06-15,
2012-07-15,0.10200000000000001
2012-08-15,0.09666666666666666
2012-09-15,0.158
2012-10-15,0.1
2012-11-15,0.05
2012-12-15,0.039999999999999994
2013-01-15,0.05516
2013-02-15,0.159375
2013-03-15,0.1309
2013-04-15,0.09832
2013-05-15,0.061516666666666664
2013-06-15,0.09552000000000001
2013-07-15,0.1811
2013-08-15,0.08022
2013-09-15,0.08866666666666667
2013-10-15,0.09473333333333334
2013-11-15,0.06317999999999999
2013-12-15,0.01628
2014-01-15,0.040347
2014-02-15,0.047212199999999996
2014-03-15,0.1663828
2014-04-15,0.1444806
2014-05-15,0.09138379999999999
2014-06-15,0.0993858
2014-07-15,0.0872144
2014-08-15,0.07189759999999999
2014-09-15,0.1217484
2014-10-15,0.07544866666666666
2014-11-15,0.1156386
2014-12-15,0.0561353
2015-01-15,0.0669566
2015-02-15,0.12031075
2015-03-15,0.175553
2015-04-15,0.12469680000000001
2015-05-15,0.1199174
2015-06-15,0.1302772
2015-07-15,0.138032
2015-08-15,0.14244800000000002
2015-09-15,0.0905372
2015-10-15,0.1049566
2015-11-15,0.0775522
2015-12-15,0.06197183333333333
2016-01-15,0.05331666666666667
2016-02-15,0.061380000000000004
2016-03-15,0.12252
2016-04-15,0.19556
2016-05-15,0.15256
2016-06-15,0.03846
2016-07-15,0.11344000000000001
2016-08-15,0.1362
2016-09-15,0.15832000000000002
2016-10-15,0.07454000000000001
2016-11-15,0.033676
2016-12-15,0.03598
2017-01-15,0.061482
2017-02-15,0.121052
2017-03-15,0.13884400000000002
2017-04-15,0.128902
2017-05-15,0.12216199999999999
2017-06-15,0.11521
2017-07-15,0.08241600000000002
2017-08-15,0.122332
2017-09-15,0.099584
2017-10-15,0.13564666666666667
2017-11-15,0.087545
2017-12-15,0.041016000000000004
2018-01-15,0.060908
2018-02-15,0.210068
2018-03-15,0.152086
2018-04-15,0.111582
2018-05-15,0.12292800000000001
2018-06-15,0.11269599999999999
2018-07-15,0.11833
2018-08-15,0.11550399999999998
2018-09-15,0.10051400000000002
2018-10-15,0.17297999999999997
2018-11-15,0.1127
2018-12-15,0.057345
2019-01-15,0.110114
2019-02-15,0.134462
2019-03-15,0.11716833333333332
2019-04-15,0.13372
2019-05-15,0.065642
2019-06-15,0.129972
2019-07-15,0.124816
2019-08-15,0.12605666666666668
2019-09-15,0.114036
2019-10-15,0.101844
2019-11-15,0.09584999999999999
2019-12-15,0.058752000000000006
