time,concNnh4
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,0.997919815340909
2016-03-15,1.7069299025124434
2016-04-15,0.9510048392084106
2016-05-15,1.1897579581529583
2016-06-15,1.0759741488610108
2016-07-15,0.31931763468013474
2016-08-15,
2016-09-15,0.5774313389785536
2016-10-15,1.0461458827404482
2016-11-15,0.7191634187437276
2016-12-15,1.2310282684135083
2017-01-15,1.1523745632939397
2017-02-15,1.3330784428947862
2017-03-15,1.2445751470855482
2017-04-15,1.1366139308021554
2017-05-15,1.063862456709957
2017-06-15,0.835083859745327
2017-07-15,
2017-08-15,0.5879729375976172
2017-09-15,1.0165948990897116
2017-10-15,0.6603245869212311
2017-11-15,0.5439845914502164
2017-12-15,0.3370705003330003
2018-01-15,0.9049696091348265
2018-02-15,0.7492045604066985
2018-03-15,1.0327808575570598
2018-04-15,1.5326694890714303
2018-05-15,1.7474665922959574
2018-06-15,1.1344072897340756
2018-07-15,1.049523413164829
2018-08-15,0.5544805866275321
2018-09-15,0.6212390885521013
2018-10-15,0.7695626883826828
2018-11-15,1.3042874360617454
2018-12-15,0.6800418209876542
2019-01-15,1.2039204889659214
2019-02-15,1.379923843803349
2019-03-15,1.1344041771418714
2019-04-15,2.9197540058722598
2019-05-15,0.9804869376538495
2019-06-15,0.7864019182571814
2019-07-15,0.6524635578846106
2019-08-15,0.912620069726866
2019-09-15,0.5163631223847205
2019-10-15,0.657078151439204
2019-11-15,0.8762624964155241
2019-12-15,0.7806777997341839
