time,concNno3pm10
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,0.0033333333333333335
2010-02-15,0.0075
2010-03-15,0.016666666666666666
2010-04-15,0.075
2010-05-15,0.032
2010-06-15,0.015
2010-07-15,0.0175
2010-08-15,0.022
2010-09-15,0.0225
2010-10-15,0.025
2010-11-15,0.05800000000000001
2010-12-15,0.05
2011-01-15,0.4025
2011-02-15,0.3025
2011-03-15,0.135
2011-04-15,0.3
2011-05-15,0.118
2011-06-15,0.0875
2011-07-15,0.2175
2011-08-15,0.244
2011-09-15,0.0975
2011-10-15,0.198
2011-11-15,0.18
2011-12-15,0.32
2012-01-15,0.3375
2012-02-15,0.4275
2012-03-15,0.22249999999999998
2012-04-15,0.10333333333333333
2012-05-15,0.0925
2012-06-15,0.0825
2012-07-15,0.046
2012-08-15,0.025
2012-09-15,0.1
2012-10-15,0.088
2012-11-15,0.3325
2012-12-15,0.6460000000000001
2013-01-15,0.3725
2013-02-15,0.28500000000000003
2013-03-15,0.135
2013-04-15,
2013-05-15,0.19999999999999998
2013-06-15,0.052500000000000005
2013-07-15,0.0525
2013-08-15,0.065
2013-09-15,0.052000000000000005
2013-10-15,0.14250000000000002
2013-11-15,0.2425
2013-12-15,0.24000000000000005
2014-01-15,0.18
2014-02-15,0.275
2014-03-15,0.31599999999999995
2014-04-15,0.0625
2014-05-15,0.085
2014-06-15,0.06999999999999999
2014-07-15,0.06
2014-08-15,0.0625
2014-09-15,0.11200000000000002
2014-10-15,0.21000000000000002
2014-11-15,0.7225
2014-12-15,0.58
2015-01-15,0.21000000000000002
2015-02-15,0.21000000000000002
2015-03-15,0.22599999999999998
2015-04-15,0.22499999999999998
2015-05-15,0.1
2015-06-15,0.08600000000000001
2015-07-15,0.060000000000000005
2015-08-15,0.08
2015-09-15,0.1
2015-10-15,0.1525
2015-11-15,0.248
2015-12-15,0.13999999999999999
2016-01-15,0.24666666666666667
2016-02-15,0.188
2016-03-15,0.1
2016-04-15,0.1125
2016-05-15,0.05
2016-06-15,0.0225
2016-07-15,0.015000000000000001
2016-08-15,0.030000000000000006
2016-09-15,0.04
2016-10-15,0.082
2016-11-15,0.10500000000000001
2016-12-15,0.41000000000000003
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
