time,concpm10
2000-01-15,
2000-02-15,
2000-03-15,
2000-04-15,
2000-05-15,
2000-06-15,
2000-07-15,
2000-08-15,
2000-09-15,
2000-10-15,
2000-11-15,
2000-12-15,
2001-01-15,
2001-02-15,
2001-03-15,
2001-04-15,
2001-05-15,
2001-06-15,
2001-07-15,
2001-08-15,
2001-09-15,
2001-10-15,
2001-11-15,
2001-12-15,
2002-01-15,
2002-02-15,
2002-03-15,
2002-04-15,
2002-05-15,
2002-06-15,
2002-07-15,
2002-08-15,
2002-09-15,
2002-10-15,
2002-11-15,
2002-12-15,
2003-01-15,
2003-02-15,
2003-03-15,
2003-04-15,
2003-05-15,
2003-06-15,
2003-07-15,
2003-08-15,
2003-09-15,
2003-10-15,
2003-11-15,
2003-12-15,
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,22.88036254816018
2006-08-15,15.714140251860272
2006-09-15,27.45978409090909
2006-10-15,21.234601050830893
2006-11-15,14.273383620689653
2006-12-15,16.49529569892473
2007-01-15,14.372910557184753
2007-02-15,18.542169266421983
2007-03-15,24.265951861632455
2007-04-15,32.60141369047619
2007-05-15,23.74682368637109
2007-06-15,26.458549107142858
2007-07-15,15.455975073313782
2007-08-15,19.307291666666668
2007-09-15,17.709523809523812
2007-10-15,25.712108993157376
2007-11-15,17.474273989898986
2007-12-15,23.426292438271602
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,14.914243365330321
2008-08-15,14.18282226188958
2008-09-15,17.65238016814104
2008-10-15,14.78550405882103
2008-11-15,14.779474088713217
2008-12-15,17.152606358111267
2009-01-15,25.89397658209019
2009-02-15,19.979543101825705
2009-03-15,23.39292317079834
2009-04-15,35.47359098228664
2009-05-15,20.164657802677613
2009-06-15,22.045466969465828
2009-07-15,16.785057471264366
2009-08-15,21.185611373199034
2009-09-15,26.248809523809523
2009-10-15,22.73079877112135
2009-11-15,19.164437856829164
2009-12-15,17.602734922861146
2010-01-15,26.15212609970674
2010-02-15,22.501488095238095
2010-03-15,25.874876585402898
2010-04-15,18.520833333333332
2010-05-15,30.859780701754385
2010-06-15,32.201752933057286
2010-07-15,27.841577317401896
2010-08-15,19.948722067537656
2010-09-15,24.27156855825334
2010-10-15,27.657395382395375
2010-11-15,23.09848484848484
2010-12-15,22.738317608058143
2011-01-15,27.99947051156728
2011-02-15,36.52781945600166
2011-03-15,41.661903092232684
2011-04-15,28.213401634597286
2011-05-15,28.04107838553841
2011-06-15,23.63414315569488
2011-07-15,27.985826001955033
2011-08-15,24.989811912225704
2011-09-15,22.72323232323232
2011-10-15,24.56738095238095
2011-11-15,29.88530595813204
2011-12-15,17.409305006587616
2012-01-15,14.166269129262552
2012-02-15,26.167095769727347
2012-03-15,29.248497047772414
2012-04-15,19.17675515046423
2012-05-15,16.941418659525063
2012-06-15,13.892769524328747
2012-07-15,12.916841223292836
2012-08-15,14.339289588883597
2012-09-15,16.31883116883117
2012-10-15,18.502788299663298
2012-11-15,15.897275345580796
2012-12-15,12.19702380952381
2013-01-15,15.127784567644406
2013-02-15,24.13267543859649
2013-03-15,28.013149893584675
2013-04-15,21.311120521990077
2013-05-15,12.948095486888592
2013-06-15,16.276118326118326
2013-07-15,16.01358411703239
2013-08-15,18.39560901367498
2013-09-15,16.698933782267115
2013-10-15,13.746020867865184
2013-11-15,16.719166666666666
2013-12-15,18.010416666666664
2014-01-15,
2014-02-15,8.363174315619968
2014-03-15,25.867684559479788
2014-04-15,18.11859903381643
2014-05-15,9.564239624890222
2014-06-15,10.305718851100766
2014-07-15,11.423258476102278
2014-08-15,8.045698924731182
2014-09-15,19.847261904761908
2014-10-15,12.217008797653959
2014-11-15,13.445277777777774
2014-12-15,10.226254480286737
2015-01-15,9.46590909090909
2015-02-15,11.802933673469386
2015-03-15,17.154863147605077
2015-04-15,10.291364734299519
2015-05-15,6.186865904081891
2015-06-15,7.448369565217392
2015-07-15,5.914646042363434
2015-08-15,8.494350295802201
2015-09-15,5.351897636524965
2015-10-15,12.212626262626264
2015-11-15,6.891718913270637
2015-12-15,9.612327188940093
2016-01-15,8.695463956333521
2016-02-15,13.214120370370368
2016-03-15,17.08973354231975
2016-04-15,8.413771497709792
2016-05-15,10.809203142536477
2016-06-15,8.268456302151955
2016-07-15,7.5335846948750165
2016-08-15,9.189359171424389
2016-09-15,10.55371572871573
2016-10-15,8.842165898617512
2016-11-15,10.554444444444446
2016-12-15,13.441024905435842
2017-01-15,14.697222222222221
2017-02-15,13.087743506493506
2017-03-15,11.017106549364613
2017-04-15,15.239880952380954
2017-05-15,9.491935483870968
2017-06-15,9.965780998389691
2017-07-15,8.661701556629094
2017-08-15,8.13825491946109
2017-09-15,8.12985209235209
2017-10-15,9.618805516596538
2017-11-15,10.025925925925923
2017-12-15,7.890617960814314
2018-01-15,7.7120733987844785
2018-02-15,15.529711611805432
2018-03-15,12.628205128205128
2018-04-15,12.76363087395696
2018-05-15,15.19829857798374
2018-06-15,11.045797101449274
2018-07-15,12.512086300795978
2018-08-15,9.890653175716292
2018-09-15,10.98854984959104
2018-10-15,14.088133640552995
2018-11-15,10.834365079365076
2018-12-15,9.2931643625192
2019-01-15,12.783986175115206
2019-02-15,11.264416290231509
2019-03-15,12.29435483870968
2019-04-15,14.73673693456302
2019-05-15,11.17175081813932
2019-06-15,9.064002089864157
2019-07-15,11.73598484848485
2019-08-15,9.584139784946236
2019-09-15,7.368357487922706
2019-10-15,7.891289559301982
2019-11-15,7.021407396950876
2019-12-15,8.448593792590616
