,0
2000-10-15,3.1828933659060596
2001-10-15,2.83906999911713
2002-10-15,2.548215489490039
2003-10-15,2.706042418653418
2004-10-15,1.9587159709713209
2005-10-15,2.8170037624963187
2006-10-15,2.871007999342733
2007-10-15,2.14424222915259
2008-10-15,
2009-10-15,
2010-10-15,
2011-10-15,3.0644425436447875
2012-10-15,1.641165207036843
2013-10-15,1.356987719266477
2014-10-15,3.590495907785508
2015-10-15,1.7723814404096725
2016-10-15,1.8183002342810612
2017-10-15,1.524144134625147
2018-10-15,1.7332793872582368
2019-10-15,1.172371603794376
