time,wetoxs
2000-01-15,10.064516129032256
2000-02-15,39.60714285714284
2000-03-15,128.30740740740734
2000-04-15,2776.5079999999994
2000-05-15,1617.4862068965513
2000-06-15,1641.403571428571
2000-07-15,2018.2290322580639
2000-08-15,1840.9758620689652
2000-09-15,2942.860714285713
2000-10-15,4749.46896551724
2000-11-15,2106.093333333333
2000-12-15,343.2599999999999
2001-01-15,660.5366666666666
2001-02-15,236.47857142857134
2001-03-15,816.8137931034481
2001-04-15,1219.0103448275859
2001-05-15,658.8677419354837
2001-06-15,2296.5566666666655
2001-07-15,1301.1759999999995
2001-08-15,559.2380952380951
2001-09-15,756.4407407407406
2001-10-15,204.70322580645157
2001-11-15,82.68275862068963
2001-12-15,0.0
2002-01-15,0.0
2002-02-15,654.359259259259
2002-03-15,889.1266666666666
2002-04-15,1555.4166666666665
2002-05-15,2343.6099999999988
2002-06-15,2080.8999999999996
2002-07-15,1632.4612903225802
2002-08-15,1129.0833333333328
2002-09-15,709.5344827586205
2002-10-15,587.174193548387
2002-11-15,741.2166666666666
2002-12-15,35.576923076923066
2003-01-15,146.30322580645156
2003-02-15,0.0
2003-03-15,0.0
2003-04-15,1491.346666666666
2003-05-15,637.6225806451612
2003-06-15,1651.5433333333328
2003-07-15,1189.4580645161284
2003-08-15,1287.6193548387091
2003-09-15,947.6933333333329
2003-10-15,194.97096774193543
2003-11-15,69.09666666666664
2003-12-15,82.39259259259255
2004-01-15,21.183870967741928
2004-02-15,520.7206896551722
2004-03-15,356.58709677419347
2004-04-15,663.53
2004-05-15,593.1799999999998
2004-06-15,1062.5433333333333
2004-07-15,1617.3620689655168
2004-08-15,1409.4677419354834
2004-09-15,543.9399999999998
2004-10-15,925.5193548387097
2004-11-15,1882.733333333333
2004-12-15,44.396774193548374
2005-01-15,4.564516129032256
2005-02-15,115.46785714285708
2005-03-15,192.34516129032255
2005-04-15,575.9333333333332
2005-05-15,675.606451612903
2005-06-15,576.2633333333331
2005-07-15,1200.5451612903223
2005-08-15,1305.1833333333332
2005-09-15,336.5413793103447
2005-10-15,2101.929032258063
2005-11-15,178.0833333333333
2005-12-15,115.42999999999996
2006-01-15,52.33870967741934
2006-02-15,287.6678571428571
2006-03-15,170.83548387096766
2006-04-15,560.4799999999998
2006-05-15,1899.770967741935
2006-06-15,1063.2620689655168
2006-07-15,283.4806451612902
2006-08-15,829.7387096774193
2006-09-15,1176.2862068965512
2006-10-15,540.5548387096773
2006-11-15,51.57999999999998
2006-12-15,281.4548387096773
2007-01-15,281.7433333333333
2007-02-15,146.48214285714283
2007-03-15,1204.2967741935481
2007-04-15,641.7833333333331
2007-05-15,992.5516129032254
2007-06-15,1785.0866666666661
2007-07-15,1433.196774193548
2007-08-15,1615.5333333333328
2007-09-15,477.93999999999977
2007-10-15,219.18387096774185
2007-11-15,162.97999999999993
2007-12-15,55.18387096774192
2008-01-15,84.02258064516126
2008-02-15,56.00344827586205
2008-03-15,347.874193548387
2008-04-15,650.4866666666665
2008-05-15,934.9612903225805
2008-06-15,913.5133333333331
2008-07-15,1559.4516129032256
2008-08-15,1201.048387096774
2008-09-15,865.7999999999997
2008-10-15,683.5741935483869
2008-11-15,362.5199999999999
2008-12-15,193.54333333333327
2009-01-15,29.794193548387085
2009-02-15,118.98518518518514
2009-03-15,192.05899999999994
2009-04-15,885.7437931034477
2009-05-15,1478.0322580645156
2009-06-15,761.5993103448274
2009-07-15,927.8453333333331
2009-08-15,1017.6038709677417
2009-09-15,707.0759999999997
2009-10-15,161.6764516129032
2009-11-15,476.29793103448253
2009-12-15,35.15999999999998
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
